date,log_cpi_x100,level_smoothed,log_vol_smoothed,prob_high_regime
2024-07-01,574.8019431549252,574.70337,2.089339,0.0012397012982933212
2024-08-01,574.9590418646427,574.9561,2.1795244,0.000978410464621866
2024-09-01,575.1721483044508,575.1463,1.7984953,0.0009497510672128622
2024-10-01,575.4573809749928,575.4721,1.914069,0.0009518744334737767
2024-11-01,575.7411705285735,575.8112,2.2905502,0.001075103052098507
2024-12-01,576.0805323752109,576.00226,2.0056915,0.0011434118502632734
2025-01-01,576.506883825755,576.5007,1.6099311,0.0009552223864823792
2025-02-01,576.7317367327169,576.71936,1.3243359,0.0009249424275739705
2025-03-01,576.7648894984615,576.7767,1.5424348,0.0009284924770073138
2025-04-01,576.926430074173,576.95294,1.6665301,0.0009879208471717975
2025-05-01,577.0256621261527,577.1135,2.2327776,0.0011626039777433213
2025-06-01,577.2795345943156,577.2029,2.4218795,0.0011194731596850956
2025-07-01,577.5076252582087,577.56396,2.6849635,0.0010999442238747556
2025-08-01,577.855284642247,577.67883,2.94218,0.0014008802917912595
2025-09-01,578.1499402877198,578.1462,2.6324015,0.001018538402087555
2025-11-01,578.4019009697846,578.3858,2.6276736,0.0009846390748928964
2025-12-01,578.6992468870287,578.63776,2.4168515,0.0011794284193176504
2026-01-01,578.869943766907,578.9195,2.9716077,0.0017724191470224386
2026-02-01,579.1365910211346,579.2438,2.5959702,0.004669291361800751
2026-03-01,579.9980139317192,579.7347,2.8917902,0.015019714455230882
