origin,horizon_months,horizon_days_label,target_date,point,lo80,hi80,lo95,hi95,actual,error_pp,in_80,in_95,width80_pp,width95_pp,sigma_low,sigma_high,p_high_at_origin
2024-01-31,1,30,2024-02-29,2.100658975378746,1.5311062953418417,2.6924105468791963,0.9638213895254883,3.675727865924366,2.298157,-0.19749802462125388,True,True,1.1613042515373546,2.7119064763988776,1.28339421749115,3.1057443618774414,0.024162646269726938
2024-01-31,3,90,2024-04-30,2.104579113520173,1.3523737866301397,2.978333534817673,0.7483409911734922,3.6626224368581255,3.095306,-0.9907268864798269,False,True,1.6259597481875332,2.914281445684633,1.28339421749115,3.1057443618774414,0.024162646269726938
2024-04-30,1,30,2024-05-31,3.0735112599669687,2.6247162413909053,3.5321312871843125,2.39354526625193,3.7923602567394807,2.946508,0.1270032599669686,True,True,0.9074150457934071,1.3988149904875509,0.11505277454853058,0.740935206413269,0.0019398821857814354
2024-04-30,3,90,2024-07-31,3.049788990193902,2.269206592044958,3.9986188122337536,1.7950117388801616,4.3691006535889105,2.058553,0.9912359901939021,False,True,1.7294122201887956,2.574088914708749,0.11505277454853058,0.740935206413269,0.0019398821857814354
2024-07-31,1,30,2024-08-31,2.0820875556262184,1.549473785167319,2.568906281811243,1.2025441594312474,2.9172485944787567,2.041457,0.040630555626218534,True,True,1.0194324966439239,1.7147044350475094,1.3901528120040894,3.448305368423462,0.10282521844071224
2024-07-31,3,90,2024-10-31,2.047437033462955,1.218459994689734,3.0603760482055007,0.7321925449329292,3.5654101114003955,2.166893,-0.11945596653704493,True,True,1.8419160535157666,2.833217566467466,1.3901528120040894,3.448305368423462,0.10282521844071224
2024-10-31,1,30,2024-11-30,2.1295882232188426,1.7316225159251895,2.5046676656849685,1.4589438438829014,2.8086908287010166,2.705893,-0.5763047767811575,False,True,0.773045149759779,1.3497469848181152,1.9090673923492432,4.256946086883545,0.217197682128687
2024-10-31,3,90,2025-01-31,2.114043243836459,1.429210681738534,2.813493041650228,1.053532903892842,3.138041267542998,2.700759,-0.586715756163541,True,True,1.384282359911694,2.084508363650156,1.9090673923492432,4.256946086883545,0.217197682128687
2025-01-31,1,30,2025-02-28,2.500027262034983,2.028886579473628,2.9282302595256766,1.6305562924014902,3.2740919999301226,2.17459,0.325437262034983,True,True,0.8993436800520485,1.6435357075286323,0.592250645160675,1.9573127031326294,0.009340911243122618
2025-01-31,3,90,2025-04-30,2.4861542822199825,1.7576409991005348,3.2279871322374145,1.3305369935117826,3.6497627307098943,1.570095,0.9160592822199825,False,True,1.4703461331368797,2.3192257371981118,0.592250645160675,1.9573127031326294,0.009340911243122618
2025-04-30,1,30,2025-05-31,1.5619363332565848,1.0747935655674767,2.107567818747149,0.8148986568512381,2.4721557289692075,2.064027,-0.5020906667434151,True,True,1.0327742531796724,1.6572570721179694,0.10393694788217545,1.807895541191101,0.0012070200620889978
2025-04-30,3,90,2025-07-31,1.5408240718832036,0.654824906771593,2.542805430085509,0.15897732383388732,3.0131979104709314,2.038291,-0.4974669281167965,True,True,1.887980523313916,2.854220586637044,0.10393694788217545,1.807895541191101,0.0012070200620889978
2025-07-31,1,30,2025-08-31,2.0229522908238193,1.7000268537015035,2.376050144715946,1.5112765826228067,2.5673466153900333,2.314218,-0.29126570917618055,True,True,0.6760232910144426,1.0560700327672266,0.5582951307296753,3.498856782913208,0.02730084432983016
2025-07-31,3,90,2025-10-31,2.0195315705591126,1.417931302752974,2.69483789725677,1.0312369013702831,3.0058016334487467,2.435982,-0.4164504294408875,True,True,1.2769065945037958,1.9745647320784636,0.5582951307296753,3.498856782913208,0.02730084432983016
2025-10-31,1,30,2025-11-30,2.4144436080813905,2.093985551353137,2.7521996126250166,1.9348324778570147,2.9716790322235433,2.317091,0.09735260808139046,True,True,0.6582140612718796,1.0368465543665286,0.0332716628909111,3.4013254642486572,0.00016679001309024717
2025-10-31,3,90,2026-01-31,2.4206276168162226,1.802286443309465,3.102798930680836,1.4676517281205976,3.4249737393673683,1.23761,1.1830176168162225,False,False,1.300512487371371,1.9573220112467706,0.0332716628909111,3.4013254642486572,0.00016679001309024717
2026-01-31,1,30,2026-02-28,1.2261116380602965,0.8616430216354054,1.5797279793269536,0.6876554496357702,1.7903556261541378,1.490284,-0.2641723619397034,True,True,0.7180849576915482,1.1027001765183675,1.1627910137176514,2.816293239593506,0.030935917626830865
2026-01-31,3,90,2026-04-30,1.2149096231767316,0.5794784969685188,1.9270158606128616,0.20445020677521242,2.2397529097404987,1.949596,-0.7346863768232685,False,True,1.3475373636443426,2.035302702965286,1.1627910137176514,2.816293239593506,0.030935917626830865
