origin,horizon_days_label,target_date,actual,p1_point,point,hybrid_point,shift,lo80_hyb,hi80_hyb,lo95_hyb,hi95_hyb,hyb_error_pp,hyb_in_80,hyb_in_95,hyb_width80,hyb_width95
2024-04-30,30,2024-05-31,2.946508,4.285616854263887,3.0735112599669687,4.285616854263887,1.2121055942969186,3.836821835687824,4.744236881481231,3.6056508605488484,5.004465851036399,1.3391088542638871,False,False,0.9074150457934071,1.3988149904875509
2024-04-30,90,2024-07-31,2.058553,5.837129708967328,3.049788990193902,5.837129708967328,2.7873407187734265,5.0565473108183845,6.78595953100718,4.582352457653588,7.1564413723623375,3.7785767089673286,False,False,1.7294122201887951,2.5740889147087493
2024-07-31,30,2024-08-31,2.041457,2.042575247400417,2.0820875556262184,2.042575247400417,-0.03951230822580154,1.5099614769415175,2.5293939735854414,1.1630318512054458,2.877736286252955,0.001118247400416994,True,True,1.0194324966439239,1.7147044350475094
2024-07-31,90,2024-10-31,2.166893,1.8577286893717107,2.047437033462955,1.8577286893717107,-0.18970834409124437,1.0287516505984897,2.8706677041142563,0.5424842008416848,3.375701767309151,-0.3091643106282893,True,True,1.8419160535157666,2.833217566467466
2024-10-31,30,2024-11-30,2.705893,2.2918567957378424,2.1295882232188426,2.2918567957378424,0.16226857251899984,1.8938910884441895,2.6669362382039683,1.6212124164019013,2.9709594012200164,-0.4140362042621577,False,True,0.7730451497597788,1.3497469848181152
2024-10-31,90,2025-01-31,2.700759,2.2350921999789577,2.114043243836459,2.2350921999789577,0.12104895614249855,1.5502596378810325,2.9345419977927265,1.1745818600353406,3.2590902236854964,-0.46566680002104244,True,True,1.384282359911694,2.084508363650156
2025-01-31,30,2025-02-28,2.17459,1.7970543522425917,2.500027262034983,1.7970543522425917,-0.7029729097923911,1.325913669681237,2.2252573497332855,0.9275833826090991,2.5711190901377314,-0.3775356477574081,True,True,0.8993436800520485,1.6435357075286323
2025-01-31,90,2025-04-30,1.570095,0.37175588340988863,2.4861542822199825,0.37175588340988863,-2.114398398810094,-0.356757399709559,1.1135887334273207,-0.7838614052983113,1.5353643318998005,-1.1983391165901114,False,False,1.4703461331368797,2.3192257371981118
2025-04-30,30,2025-05-31,2.064027,1.9572785989249561,1.5619363332565848,1.9572785989249561,0.3953422656683714,1.4701358312358481,2.5029100844155208,1.2102409225196094,2.8674979946375787,-0.10674840107504369,True,True,1.0327742531796726,1.6572570721179694
2025-04-30,90,2025-07-31,2.038291,3.2381909212377114,1.5408240718832036,3.2381909212377114,1.6973668493545078,2.3521917561261008,4.240172279440017,1.8563441731883952,4.710564759825439,1.1998999212377113,False,True,1.8879805233139164,2.8542205866370436
2025-07-31,30,2025-08-31,2.314218,1.7371248006135955,2.0229522908238193,1.7371248006135955,-0.2858274902102238,1.4141993634912797,2.0902226545057223,1.225449092412583,2.2815191251798095,-0.5770931993864044,False,False,0.6760232910144426,1.0560700327672266
2025-07-31,90,2025-10-31,2.435982,1.2797582138722365,2.0195315705591126,1.2797582138722365,-0.739773356686876,0.678157946066098,1.9550645405698939,0.29146354468340707,2.2660282767618707,-1.1562237861277636,False,False,1.2769065945037958,1.9745647320784636
2025-10-31,30,2025-11-30,2.317091,2.380690398670079,2.4144436080813905,2.380690398670079,-0.033753209411311325,2.0602323419418256,2.7184464032137057,1.9010792684457034,2.937925822812232,0.06359939867007913,True,True,0.6582140612718801,1.0368465543665286
2025-10-31,90,2026-01-31,1.23761,2.5507621773109803,2.420627616816222,2.5507621773109803,0.13013456049475813,1.932421003804223,3.232933491175594,1.5977862886153558,3.5551082998621264,1.3131521773109802,False,False,1.300512487371371,1.9573220112467706
2026-01-31,30,2026-02-28,1.490284,0.627515936965306,1.2261116380602963,0.627515936965306,-0.5985957010949903,0.26304732054041513,0.9811322782319634,0.08905974854077991,1.1917599250591475,-0.8627680630346939,False,False,0.7180849576915482,1.1027001765183675
2026-01-31,90,2026-04-30,1.949596,-1.063244570297156,1.2149096231767316,-1.063244570297156,-2.2781541934738874,-1.6986756965053686,-0.3511383328610258,-2.073703986698675,-0.03840128373338869,-3.012840570297156,False,False,1.3475373636443428,2.035302702965286
