date,F_smoothed,y_rent_primary_log_std,lambda_rent_primary,y_owners_eq_rent_log_std,lambda_owners_eq_rent,y_electricity_log_std,lambda_electricity,y_utility_gas_log_std,lambda_utility_gas
2019-05-31,0.034361124,0.1861768259371033,0.15111452,0.13579471636314933,0.10175936,-0.33377511949026245,-0.34983248,-0.7067867768702856,-0.72021973
2019-06-30,0.049068704,0.20845443575732409,0.1576095,0.1541022370681232,0.10653591,-0.34168265923924734,-0.36087963,-0.7221810654970792,-0.76278883
2019-07-31,0.06420607,0.22577769901849046,0.16131824,0.16924788436294555,0.10926056,-0.3116347846368522,-0.3547608,-0.7853687978745756,-0.8270884
2019-08-31,0.07735347,0.2401619748911404,0.16399759,0.1847133352446477,0.11246808,-0.3257686046047442,-0.36550638,-0.7906351165249689,-0.8555621
2019-09-30,0.09128043,0.2594703878529261,0.16740629,0.20186414276759748,0.11546962,-0.3066442469353686,-0.36419487,-0.866871190149796,-0.91586304
2019-10-31,0.10814901,0.2702570538276187,0.16600266,0.213639310814111,0.115199104,-0.3080341396771798,-0.37202904,-0.7653521514908357,-0.8649257
2019-11-30,0.12123579,0.28587639731388975,0.16785067,0.22968382893597056,0.11791296,-0.30062430690590053,-0.37805822,-0.8123068779092852,-0.8983037
2019-12-31,0.13538307,0.30158706928289464,0.17017,0.24486788502433565,0.12065574,-0.31420262044260644,-0.394428,-0.7839875844331039,-0.88849956
2020-01-31,0.15207714,0.3212562510436054,0.17314142,0.2648387334971556,0.12414661,-0.3156295699752693,-0.40595627,-0.7481818379201043,-0.87314326
2020-02-29,0.16628236,0.33626802589185045,0.17508736,0.2782708979961708,0.12566262,-0.30439957111114796,-0.41106552,-0.7666920639698068,-0.8891241
2020-03-31,0.18099585,0.35315451555098154,0.17698124,0.29342784535481725,0.1270191,-0.31844858076453836,-0.42716625,-0.719298698847341,-0.8625101
2020-04-30,0.19563775,0.3651759828270096,0.17673059,0.3053975715401431,0.12718338,-0.31241930930762113,-0.4363488,-0.67856940477733,-0.84018767
2020-05-31,0.20643315,0.3781497303590823,0.17778558,0.31944008965074816,0.1289153,-0.33398969546818436,-0.4527301,-0.6880469480011251,-0.8568309
2020-06-30,0.21808097,0.3867106768669377,0.17664881,0.3252648473557087,0.12713788,-0.31067206931138386,-0.4469784,-0.7295407711301765,-0.9046521
2020-07-31,0.22958031,0.3997341850811071,0.17616566,0.33840080251833354,0.12752637,-0.29685091264772756,-0.4431659,-0.7970278367327553,-0.9684118
2020-08-31,0.24008138,0.40531122554723265,0.17082693,0.34858201827239393,0.12533751,-0.3106364155245092,-0.44719556,-0.8162449823677863,-0.98039776
2020-09-30,0.26426515,0.41084981581599317,0.15841725,0.3528253134412508,0.1146763,-0.24991125028337977,-0.41854104,-0.6254583772211978,-0.857463
2020-10-31,0.28094107,0.4193449525228566,0.14908591,0.3659755374187521,0.10877244,-0.21758045142311028,-0.39574668,-0.6385027532430857,-0.85412276
2020-11-30,0.2986473,0.42311099341715547,0.13823715,0.3684927869708439,0.0993331,-0.17662324543557636,-0.37450358,-0.571527789619731,-0.8118171
2020-12-31,0.31340265,0.4295846890709157,0.13010496,0.3771675711728349,0.093893364,-0.1600011953789321,-0.37380874,-0.5420039671775724,-0.784966
2021-01-31,0.32371917,0.4355588802304658,0.12310493,0.38617564983910196,0.09057282,-0.22758974314630762,-0.40895012,-0.4718479212927887,-0.72403306
2021-02-28,0.3495469,0.4455564349904257,0.11021675,0.40115983670739047,0.083178475,-0.1563317369635057,-0.385444,-0.36865032690916266,-0.63259
2021-03-31,0.37661204,0.45470262346811147,0.09440726,0.4152207902192005,0.07314735,-0.1533625170105024,-0.37776387,-0.15217831565490617,-0.46060714
2021-04-30,0.41084224,0.46611866010633096,0.076628715,0.42988163943896485,0.06060786,-0.05816006050065283,-0.3307127,0.016735753496440117,-0.3250576
2021-05-31,0.43914762,0.4805394346400669,0.06319645,0.44720896143265154,0.052240618,-0.012423988186272706,-0.30533206,0.10127724285586222,-0.25387025
2021-06-30,0.46342537,0.49399817317503586,0.051508136,0.46762881805726386,0.047280185,-0.01410413870845857,-0.30503866,0.17085663996805342,-0.19533408
2021-07-31,0.494056,0.5066960376080736,0.03665778,0.4862100797361337,0.038511757,0.025025892295646206,-0.28609374,0.29663100829802214,-0.10296573
2021-08-31,0.5287825,0.5249710252301395,0.021318085,0.5031654445637024,0.026026987,0.09511967578589171,-0.24803025,0.390395525183804,-0.021232475
2021-09-30,0.56982946,0.5462924818575888,0.003522925,0.5275426494151398,0.012938537,0.14777359087940056,-0.21202382,0.5791963549445979,0.1363228
2021-10-31,0.62439346,0.5698089248512531,-0.017730772,0.5554689233682465,-0.0023130178,0.2697643076231053,-0.1515789,0.9423133485479577,0.38268393
2021-11-30,0.6546352,0.5928928959581555,-0.028347004,0.5818070018160493,-0.008512154,0.2974989458811733,-0.12738179,0.8641975628169731,0.3360731
2021-12-31,0.6868862,0.6147547397606716,-0.039321333,0.6058573375639752,-0.016483203,0.3161079057942641,-0.0986574,0.8386542100094858,0.29245505
2022-01-31,0.74081504,0.6436517048322085,-0.055782627,0.6312469606568305,-0.03249693,0.5409476549991623,0.012165457,0.8799843452415252,0.2929365
2022-02-28,0.77726674,0.6756097908360358,-0.06597237,0.6592288833444753,-0.04297648,0.4971423886717888,0.017062802,0.9748157644376991,0.3513232
2022-03-31,0.8289253,0.699941691046292,-0.08628156,0.6874129809201407,-0.059592944,0.6437428686551686,0.09376363,1.0793894145548215,0.43120775
2022-04-30,0.8853743,0.7322999294037194,-0.108155996,0.717467492666774,-0.07963359,0.7386794371800558,0.15714619,1.3083773731014285,0.62423
2022-05-31,0.9548198,0.768202517860599,-0.1338026,0.7529459696989612,-0.10248718,0.8504388737118245,0.2230227,1.7665485739251006,0.98497754
2022-06-30,1.0267268,0.8119566890679424,-0.15491843,0.7963913835705505,-0.120757475,0.9618798396042285,0.29308096,2.219843722003584,1.300544
2022-07-31,1.0747736,0.8532421587397504,-0.16510782,0.8358145442326512,-0.12917106,1.1072266015286543,0.38412791,1.9750433412064843,1.1533893
2022-08-31,1.1356333,0.8939408031992379,-0.17719087,0.8790493797690604,-0.1371811,1.2134237480583867,0.4439887,2.1891732983824865,1.2651546
2022-09-30,1.1891152,0.9396023170456623,-0.18102325,0.9252313340036009,-0.13802812,1.2489805860240746,0.45924348,2.3824371037662173,1.3546878
2022-10-31,1.219747,0.9794177314542353,-0.17402156,0.9653454188076295,-0.1294768,1.2780364376022453,0.4665385,2.0917164476296803,1.1015214
2022-11-30,1.2471911,1.0230069311191363,-0.16381773,1.0061858545285647,-0.119065866,1.2791072395366998,0.46202034,1.7704328164666625,0.8311102
2022-12-31,1.3001504,1.0674654156104388,-0.16555119,1.0528943427580286,-0.11771346,1.3349847404844113,0.4758105,1.9521825994611937,0.9256886
2023-01-31,1.3596733,1.1074710252305748,-0.1706032,1.0911812353606407,-0.1206938,1.3938198344754527,0.49037197,2.3759056134353527,1.1506708
2023-02-28,1.3770254,1.1498415079513702,-0.15485603,1.1338862748523042,-0.103554636,1.4187787301250312,0.4933687,1.8107272810880255,0.7093023
2023-03-31,1.3878992,1.1769971349795147,-0.13921465,1.163538525250284,-0.08533555,1.3771255033148677,0.45900416,1.4206944565895991,0.3246928
2023-04-30,1.4057941,1.2090892728708904,-0.12558374,1.1981654301243125,-0.06850456,1.3525454567842754,0.4211487,1.1793596160684088,0.06416202
2023-05-31,1.4241722,1.237642125338053,-0.1165411,1.2299040588466765,-0.055667214,1.2890556053400426,0.374482,1.0344007336895928,-0.10316021
2023-06-30,1.4547125,1.2649608593856747,-0.11609898,1.2599969809549583,-0.050939247,1.3601368209358513,0.38772532,0.9175696318040015,-0.22095662
2023-07-31,1.486898,1.2902870928333807,-0.11973657,1.2902729284204795,-0.049847655,1.3360475682179944,0.3688729,1.0431783678972548,-0.16606124
2023-08-31,1.5194932,1.3161600998572538,-0.12420853,1.3133203086365108,-0.05273414,1.3753826187995954,0.38154715,1.0606970586566136,-0.1753633
2023-09-30,1.5527333,1.3435777383126297,-0.12840739,1.3450780873338402,-0.052905902,1.445836464964122,0.41327104,0.9856785519994529,-0.25204894
2023-10-31,1.5845565,1.3713634311073697,-0.13261329,1.3722907416510417,-0.05433541,1.4581140164491297,0.42384523,1.004397576448466,-0.26425958
2023-11-30,1.6237557,1.3988056778293936,-0.14075696,1.4040080086598619,-0.05704482,1.5323464813879801,0.4605178,1.0799171138726937,-0.24038738
2023-12-31,1.6555332,1.42151544809765,-0.14969169,1.4308541629020914,-0.059401922,1.5843742612697307,0.49569845,1.026059049617482,-0.2866028
2024-01-31,1.6958474,1.4413754047034153,-0.16289091,1.4621950915895314,-0.06266861,1.6752702496675538,0.5405086,1.1411074856109749,-0.22718826
2024-02-29,1.727765,1.4664033175736022,-0.16980088,1.4903236696888993,-0.063597254,1.6844129847111642,0.54861736,1.221401449516257,-0.18398464
2024-03-31,1.7575772,1.4889524992899401,-0.17415562,1.515782494474723,-0.06284529,1.7434250489488419,0.5689616,1.217109314314789,-0.21656293
2024-04-30,1.7738804,1.5081159738450147,-0.17314857,1.5409253207660032,-0.056109324,1.7299627944719678,0.55554485,1.060307044639385,-0.34830192
2024-05-31,1.795075,1.5299184980223528,-0.17241772,1.566881171113826,-0.050508507,1.724505716435753,0.53406113,1.0506604522712903,-0.37894237
2024-06-30,1.8155911,1.5450764502709873,-0.17394215,1.5854161639374365,-0.04831794,1.686525509587667,0.4984062,1.1453142300858608,-0.3299608
